gbifid	latitude	longitude	presence	wc2.1_2.5m_bio_1	wc2.1_2.5m_bio_2	wc2.1_2.5m_bio_3	wc2.1_2.5m_bio_4	wc2.1_2.5m_bio_5	wc2.1_2.5m_bio_6	wc2.1_2.5m_bio_7	wc2.1_2.5m_bio_8	wc2.1_2.5m_bio_9	wc2.1_2.5m_bio_10	wc2.1_2.5m_bio_11	wc2.1_2.5m_bio_12	wc2.1_2.5m_bio_13	wc2.1_2.5m_bio_14	wc2.1_2.5m_bio_15	wc2.1_2.5m_bio_16	wc2.1_2.5m_bio_17	wc2.1_2.5m_bio_18	wc2.1_2.5m_bio_19
1802669191	32.286687	-111.0905	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1699387842	32.119552	-110.977777	1	20.368667602539062	16.492666244506836	46.732025146484375	740.632080078125	38.47600173950195	3.184000015258789	35.29199981689453	28.868000030517578	23.9233341217041	29.552000045776367	11.601333618164062	317	59	5	63.60359573364258	151	21	124	76
1453453045	32.220837	-111.097472	1	19.779333114624023	14.343999862670898	44.62974548339844	713.3834228515625	36.25199890136719	4.111999988555908	32.13999938964844	28.018667221069336	22.917333602905273	28.53266716003418	11.315333366394043	382	68	6	61.73648452758789	177	24	143	97
1438808065	29.858817	-111.48047	1	19.431833267211914	19.343000411987305	57.18720245361328	603.04034423828125	36.492000579833984	2.6679999828338623	33.82400131225586	26.84666633605957	21.51333236694336	26.874000549316406	12.33466625213623	323	82	1	101.31055450439453	209	10	169	66
1668878976	32.205772	-110.738022	1	19.476333618164062	15.9486665725708	46.628074645996094	729.31085205078125	37.06800079345703	2.864000082015991	34.204002380371094	27.95199966430664	22.75666618347168	28.507999420166016	10.873332977294922	357	68	5	65.77742004394531	172	22	142	86
1269553724	33.751955	-111.826023	1	19.465499877929688	16.716333389282227	45.85344696044922	775.20361328125	38.88800048828125	2.431999921798706	36.45600128173828	11.547333717346191	22.09600067138672	29.09866714477539	10.510666847229004	428	53	6	45.833133697509766	144	31	99	143
1802731229	32.228403	-111.040893	1	20.635499954223633	15.199000358581543	45.05810546875	737.63140869140625	37.784000396728516	4.052000045776367	33.73200225830078	29.149999618530273	24.05266571044922	29.713333129882812	11.868666648864746	310	57	5	61.602657318115234	144	20	117	77
1668894226	32.405237	-110.995903	1	20.235000610351562	15.372666358947754	45.411399841308594	739.11077880859375	37.4119987487793	3.559999942779541	33.85199737548828	28.898666381835938	23.48466682434082	29.345333099365234	11.5	331	58	6	57.1463737487793	144	21	116	89
1065605409	32.64517	-111.407403	1	21.406665802001953	16.586000442504883	45.218101501464844	792.0692138671875	40.25600051879883	3.5759999752044678	36.68000030517578	30.847332000732422	24.55466651916504	31.01333236694336	11.895999908447266	278	47	4	55.25855255126953	113	16	89	79
1668871454	32.083275	-110.919328	1	20.125999450683594	16.874666213989258	47.26267623901367	741.78912353515625	38.47600173950195	2.7720000743865967	35.704002380371094	28.643333435058594	23.676666259765625	29.32400131225586	11.34000015258789	324	61	5	66.11748504638672	158	21	130	75
1699381617	32.294195	-111.050003	1	20.679832458496094	15.885666847229004	45.83285140991211	750.74139404296875	38.20000076293945	3.5399999618530273	34.65999984741211	29.383333206176758	24.142000198364258	29.89666748046875	11.718667030334473	295	54	5	60.19724655151367	134	18	108	76
1584421492	32.901214	-111.278972	1	21.033666610717773	16.28333282470703	44.31562423706055	809.16131591796875	40.25600051879883	3.51200008392334	36.74399948120117	30.756000518798828	24.161333084106445	30.887332916259766	11.38266658782959	302	46	3	50.9307975769043	109	18	85	93
1802727998	32.323212	-111.102225	1	20.545333862304688	15.286666870117188	44.9925422668457	746.1829833984375	37.816001892089844	3.8399999141693115	33.97600173950195	29.181333541870117	23.959999084472656	29.70400047302246	11.64133358001709	310	56	5	60.19282913208008	141	19	113	80
1500278846	32.308697	-111.100853	1	20.545333862304688	15.286666870117188	44.9925422668457	746.1829833984375	37.816001892089844	3.8399999141693115	33.97600173950195	29.181333541870117	23.959999084472656	29.70400047302246	11.64133358001709	310	56	5	60.19282913208008	141	19	113	80
1802752697	32.294278	-111.079628	1	20.679832458496094	15.885666847229004	45.83285140991211	750.74139404296875	38.20000076293945	3.5399999618530273	34.65999984741211	29.383333206176758	24.142000198364258	29.89666748046875	11.718667030334473	295	54	5	60.19724655151367	134	18	108	76
1563428759	33.2415	-110.259605	1	18.23383331298828	17.37566566467285	45.67255401611328	812.242919921875	37.784000396728516	-0.2600000202655792	38.04399871826172	27.7586669921875	21.902666091918945	28.34866714477539	8.53600025177002	360	55	6	48.25985336303711	133	24	104	106
